accuracy while poisoned,Accuracy after heal,no changed,+ve to -ve,-ve to +ve,healed to -ve,healed to +ve,c value
0.9913807817033623,0.9913807817033623,0,0,80,0,80,0.7699625532380385
0.9913807817033623,0.9913807817033623,468,5,116,0,499,0.7713379380113643
0.9913807817033623,0.9913807817033623,936,11,116,0,961,0.7719090592998914
0.9912954429083461,0.9912954429083461,1404,16,116,0,1424,0.7719429471599578
0.990868748933265,0.990868748933265,1872,24,117,0,1885,0.7717196996766829
0.990868748933265,0.990868748933265,2340,29,117,0,2348,0.7716994619611934
0.9910394265232975,0.9906980713432326,2808,35,119,0,2812,0.7720697852394209
0.9911247653183137,0.9906127325482165,3276,44,120,0,3272,0.7726414932843104
0.9912101041133299,0.9906127325482165,3744,52,122,0,3734,0.7746866134215744
0.9915514592933948,0.9906127325482165,4212,56,125,0,4201,0.7759155921741494
0.9914661204983786,0.9906127325482165,4680,62,125,0,4663,0.7769919883409695
0.9913807817033623,0.9905273937532002,5148,67,127,0,5128,0.7780178473930236
0.9913807817033623,0.9905273937532002,5616,71,127,0,5592,0.7781948369137947
0.9912954429083461,0.9905273937532002,6084,76,135,0,6063,0.7792145763677578
0.9913807817033623,0.9905273937532002,6552,84,126,0,6514,0.7812249400395674
0.9913807817033623,0.9905273937532002,7020,90,128,0,6978,0.7853401785120214
0.991636798088411,0.9905273937532002,7488,92,124,0,7440,0.786127133181461
0.9912954429083461,0.9902713773681515,7956,98,132,0,7910,0.7877170530208468
0.9907834101382489,0.9903567161631678,8424,104,128,0,8368,0.7902547610191569
0.9883085850827786,0.9902713773681515,8892,111,134,0,8835,0.7927059581341339
0.9841269841269841,0.9901860385731354,9360,115,143,0,9308,0.7936189300795504
0.968168629458952,0.9900153609831029,9828,120,147,0,9775,0.7959732901861645
0.9381293736132446,0.9899300221880867,10296,126,158,0,10248,0.7983264127338856
0.8900836320191159,0.9889912954429083,10764,137,152,0,10699,0.8036485385578968
0.8084997439836149,0.9888206178528759,11232,146,157,0,11163,0.809156362677371
0.7299880525686977,0.9887352790578597,11700,147,162,0,11635,0.8095720660332366
0.6524150878989589,0.9886499402628435,12168,149,167,0,12106,0.8118116646803945
0.5962621607782899,0.9888206178528759,12636,157,161,0,12560,0.8157171935962924
0.5468509984639017,0.9886499402628435,13104,166,175,0,13033,0.8191747326750478
0.5204813108038915,0.988479262672811,13572,173,179,0,13498,0.8225329954185784
0.5063150708311999,0.988479262672811,14040,172,183,0,13971,0.8239154387759697
0.502389486260454,0.988479262672811,14508,173,183,0,14438,0.8256520692949287
0.500768049155146,0.988479262672811,14976,174,190,0,14912,0.8278761683491288
0.5,0.988479262672811,15444,195,185,0,15354,0.8304722229222528
0.5,0.988479262672811,15912,199,190,0,15823,0.8348163480038306
0.5,0.988479262672811,16380,209,195,0,16286,0.8385291545725688
0.5,0.988479262672811,16848,193,198,0,16773,0.841369402224041
0.5,0.9897593445980543,17316,175,198,0,17259,0.8439895554547197
0.5,0.9899300221880867,17784,173,207,0,17738,0.8454367195343144
0.5,0.9898446833930705,18252,168,221,0,18225,0.840605490971123
