accuracy while poisoned,Accuracy after heal,noofchanged,pos_to_neg,neg_to_pos,healed to -ve,healed to +ve
0.995989076634238,0.995989076634238,0,0,10,0,10
0.9938556067588326,0.9934289127837514,936,15,479,0,464
0.9929168800136542,0.9921488308585082,1872,27,1014,0,987
0.9926608636286056,0.9899300221880867,2808,44,1440,0,1396
0.9924901860385731,0.9891619730329407,3744,48,1949,0,1901
0.9921488308585082,0.9902713773681515,4680,48,2423,0,2375
0.9922341696535245,0.9879672299027138,5616,68,2878,0,2810
0.9921488308585082,0.9851510496671787,6552,44,3359,0,3315
0.9924901860385731,0.9805427547363031,7488,63,3828,0,3765
0.9921488308585082,0.9749957330602492,8424,63,4302,0,4239
0.9903567161631678,0.9781532684758492,9360,35,4841,0,4806
0.9921488308585082,0.9697047277692439,10296,44,5265,0,5221
0.9902713773681515,0.9582693292370712,11232,48,5836,0,5788
0.9912954429083461,0.9541730670762929,12168,38,6292,0,6254
0.9901860385731354,0.9342891278375149,13104,44,6803,0,6759
0.9905273937532002,0.9248165215907151,14040,39,7322,0,7283
0.9911247653183137,0.9158559481140126,14976,42,7995,0,7953
0.9913807817033623,0.9016043693463048,15912,43,8541,0,8498
0.9915514592933948,0.8852193207031916,16848,43,9188,0,9145
0.9895886670080218,0.8478409284860898,17784,47,10087,0,10040
0.9912954429083461,0.8168629458952039,18720,54,10606,0,10552
0.9924048472435569,0.7626728110599078,19656,49,11347,0,11298
0.9883085850827786,0.7712066905615292,20592,61,11676,0,11615
0.9894179894179894,0.7025942993684929,21528,69,12700,0,12631
0.9786653012459464,0.6226318484383001,22464,173,14527,0,14354
0.7569551117938215,0.4923195084485407,23400,1088,21101,0,20013
0.03678102065198839,0.3630312339989759,24336,8862,22974,0,14112
0.015360983102918587,0.18928144734596347,25272,11353,22452,0,11099
0.012715480457415941,0.15062297320361837,26208,11364,22026,0,10662
0.011435398532172725,0.08636286055640895,27144,11505,21496,0,9991
0.009984639016897081,0.053422085680150194,28080,11472,21033,0,9561
0.011947431302270013,0.052568697729988054,29016,11466,20634,0,9168
0.011947431302270013,0.04360812425328554,29952,11506,20169,0,8663
0.011008704557091653,0.027052398020139954,30888,11552,19694,0,8142
0.010582010582010581,0.022102747909199524,31824,11591,19214,0,7623
0.009984639016897081,0.020737327188940093,32760,11596,18750,0,7154
0.009813961426864653,0.01501962792285373,33696,11613,18270,0,6657
0.009899300221880868,0.012715480457415941,34632,11619,17771,0,6152
0.009643283836832224,0.013056835637480798,35568,11618,17309,0,5691
0.00972862263184844,0.013312852022529442,36504,11636,16831,0,5195
