accuracy while poisoned,Accuracy after heal,noofchanged,pos_to_neg,neg_to_pos,healed to -ve,healed to +ve
0.9998293224099676,0.9998293224099676,0,0,8,0,0
0.997610513739546,0.9976958525345622,468,35,61,0,0
0.9979518689196109,0.9971838197644649,936,78,8,0,0
0.9953063662741082,0.9950503498890596,1404,119,74,0,0
0.9949650110940433,0.9945383171189622,1872,177,25,0,0
0.9913807817033623,0.9918074756784434,2340,242,31,0,0
0.9882232462877624,0.9889912954429083,2808,352,69,0,0
0.9887352790578597,0.988479262672811,3276,394,59,0,0
0.9854924048472435,0.9860044376173408,3744,493,67,0,0
0.9802867383512545,0.9809694487113841,4212,720,0,0,0
0.9792626728110599,0.9787506400409626,4680,802,0,0,0
0.9774705581157194,0.9757637822153952,5148,852,39,0,0
0.9783239460658816,0.9784092848608977,5616,884,51,0,0
0.9733742959549411,0.9726062467997952,6084,1113,0,0,0
0.9708994708994709,0.972520908004779,6552,1125,54,0,0
0.969363372589179,0.9683393070489845,7020,1270,62,0,0
0.9694487113841953,0.9689366786140979,7488,1361,0,0,0
0.9664618535586278,0.9660351595835467,7956,1513,0,0,0
0.9630483017579792,0.9644137224782386,8424,1554,0,0,0
0.9626216077828981,0.9621095750128008,8892,1608,39,0,0
0.9595494111623144,0.9597200887523468,9360,1774,1,0,0
0.9549411162314388,0.9543437446663253,9828,1957,2,0,0
0.9569039085168117,0.955026455026455,10296,1886,1,0,0
0.9524662911759686,0.9519542584058713,10764,2047,1,0,0
0.9492234169653524,0.9489674005803038,11232,2242,0,0,0
0.9500768049155146,0.9500768049155146,11700,2154,1,0,0
0.9499914661204983,0.9505888376856119,12168,2219,1,0,0
0.9522956135859362,0.9525516299709849,12636,2261,2,0,0
0.950247482505547,0.9496501109404335,13104,2312,1,0,0
0.9498207885304659,0.9498207885304659,13572,2340,4,0,0
0.9446151220344768,0.9445297832394607,14040,2553,31,0,0
0.9370199692780338,0.9355692097627581,14508,3026,0,0,0
0.941884280593958,0.9419696193889743,14976,2817,2,0,0
0.9406041986687148,0.9388120839733743,15444,2807,1,0,0
0.9453831711896228,0.9444444444444444,15912,2770,1,0,0
0.9320703191670934,0.9337770950674177,16380,3297,1,0,0
0.9388120839733743,0.9381293736132446,16848,2889,1,0,0
0.9359959037378393,0.9365079365079365,17316,3038,1,0,0
0.9320703191670934,0.9314729476019799,17784,3340,1,0,0
0.9386414063833418,0.9396654719235364,18252,2931,1,0,0
